Query is the topic title = "Terrorism Middle East tourism"

Doc_ID JM_Score
38920 -9.206984866411034
71167 -9.508128113306826
38356 -9.699300940016117
42439 -9.758961791725405
72320 -9.80169060481495
78595 -9.830769309049648
16827 -9.936193841306945
85147 -10.059068024812271
41791 -10.327279375878948
30597 -10.553751296872154
27404 -10.62767796819076
25590 -10.998452143427754
86950 -11.021929725223707
28185 -11.023643560130783
13264 -11.081223913225633
15458 -11.087135438800484
54109 -11.087148499217271
69330 -11.220091237420633
18552 -11.249121013042124
23408 -11.249121013042124
6163 -11.256461858186537
3595 -11.25898061861383
29675 -11.32238268409691
14956 -11.32531364837882
79578 -11.355236717679198
53296 -11.44494850480363
60008 -11.44752755748371
3601 -11.468284072935079
72796 -11.493302474772317
75434 -11.505703886895795
69331 -11.512221888468261
26495 -11.546259013751294
82926 -11.556656785778326
59210 -11.562867064360116
85987 -11.618763319023067
21659 -11.65803252628724
25645 -11.65803252628724
8052 -11.684111144316145
19408 -11.703208097043776
82164 -11.706401430273518
19413 -11.70835720499994
83264 -11.711323188164576
4839 -11.715209922680206
83267 -11.732785345565011
82163 -11.747528552695824
83813 -11.760930629256224
6304 -11.762374632496025
76441 -11.7629902639362
64271 -11.765384820055164
12741 -11.832227797215538
79565 -11.832776100132541
78572 -11.839303856719722
78574 -11.840382596645624
82907 -11.872159163173844
22546 -11.89316923419753
60334 -11.8958688353455
83809 -11.896879240386902
83804 -11.902047786593789
53185 -11.945286816342705
58418 -11.974248150467826
9456 -12.005191302638142
80280 -12.068544381010536
78580 -12.099605113432112
4046 -12.111008658859406
80283 -12.136841651571055
75433 -12.151461508732826
75431 -12.162696257087584
75429 -12.169970364656455
82908 -12.211284661109568
78584 -12.254812372117577
22541 -12.25993030560324
81474 -12.309262007383557
13285 -12.32185230307021
32982 -12.350193904946732
53133 -12.406241928115486
75435 -12.60465115243232
56638 -12.824559925833944
79552 -12.824559925833944
7486 -12.824559925833944
82190 -12.824559925833944
78577 -12.824559925833944
54671 -12.824559925833944
78582 -12.824559925833944
39858 -12.824559925833944
26529 -12.824559925833944
42441 -12.824559925833944
61409 -12.824559925833944
76397 -12.824559925833944
68777 -12.824559925833944
68775 -12.824559925833944
46387 -12.824559925833944
