Query is the topic title = "Sport Utility Vehicles U.S."

Doc_ID JM_Score
64966 -5.152708344297663
33961 -5.5190586671690856
15744 -5.583076786755772
65210 -5.659092996044661
51493 -5.728057595176332
86961 -5.8429372548353395
86042 -5.8429372548353395
3008 -5.860857102393407
49633 -6.181035122625605
48148 -6.313427982407165
80484 -6.71919622311918
80483 -6.71919622311918
80884 -6.71919622311918
2493 -6.747085499262553
2494 -6.747085499262553
5226 -6.860350915779576
5225 -6.860350915779576
5004 -6.896853685120393
40239 -7.105440024720829
48587 -7.123402051814847
5223 -7.361709257797277
59813 -7.878667192425125
50202 -8.234037687114807
40259 -8.28404924006475
80118 -8.340456667783252
26711 -8.459443694867346
28198 -8.5413400418703
38229 -8.876762372074069
31141 -9.057652842146528
27966 -9.088018357204557
22961 -9.096925101228853
7937 -9.101823327250008
6635 -9.107326665296124
17650 -9.161375781902962
25263 -9.17857340541729
62213 -9.42411334887051
52175 -9.42411334887051
