Query is the topic title = "Progress in treatment of schizophrenia"

Doc_ID JM_Score
80908 -8.09364987796345
64892 -8.365558123982492
61677 -8.408511072941137
28903 -8.42538888335455
20763 -8.506646809385028
35104 -8.75210247196954
2906 -8.755271713833674
43173 -8.784741292542826
47129 -8.866286972932425
84529 -8.898802398032078
43241 -8.941211300836837
50269 -8.972196091559102
28826 -9.058550857288528
9544 -9.09650704178815
33112 -9.321251151099926
72892 -9.423096947972015
37614 -9.45883046718257
26058 -9.50362074375988
63369 -9.529584539375483
13367 -9.752639407705166
63176 -9.775951399960775
26651 -10.072224769964064
69421 -10.072224769964064
49709 -10.072224769964064
68843 -10.072224769964064
53426 -10.072224769964064
8300 -10.072224769964064
2798 -10.072224769964064
59350 -10.072224769964064
57755 -10.072224769964064
64442 -10.072224769964064
83223 -10.072224769964064
