Query is the topic title = "Convicts, repeat offenders"

Doc_ID ModelC_Score
58476 462.368544682905
12769 415.0281976424124
12767 415.0281976424124
26061 398.77030819830145
11922 391.2235923481149
78836 354.5755535284389
82227 319.21104512849445
73038 309.30332183529435
29908 307.8277874573579
28662 307.8277874573579
76635 296.12846797544483
25096 285.0294657389123
33172 276.54314974929014
24485 271.5593258773362
4358 271.1539590185685
24515 267.8200860571615
26611 254.42743769583163
16922 231.8167320519838
25100 230.6160006132565
29911 222.47171140530665
64657 221.39488457389635
70306 221.06051767974319
20201 218.03244410544232
25699 207.30277881718416
35396 203.99101728897645
24490 203.34061803917422
11923 200.41275655939728
11930 200.41275655939728
11485 200.41275655939728
14713 199.7527713689746
21895 198.9013507393099
65414 193.9730086455457
26603 192.89650826655452
29894 187.15175804923715
4881 186.61838412737777
30486 185.11706279276842
57914 184.6130138850732
13345 183.16311955261827
4933 180.50417167337903
27870 180.0273962431019
27384 180.0273962431019
10182 177.80949122648764
11979 176.61834572838075
7502 176.3963093541843
38442 172.82451024021586
14707 172.17907842851645
3976 169.7620826259607
86929 169.75249668534025
86912 169.75249668534025
6503 163.4743725461635
6497 163.4743725461635
61689 161.30432487601462
11481 160.0286939120244
3835 158.9355367302796
8455 149.03968534981976
81731 146.86547766838913
29904 143.75570821109514
9479 143.68524212686665
9790 143.38135952549084
66107 137.30463676058682
53502 134.68162108124068
15077 134.44844346683635
17517 132.31745143802334
17587 132.31745143802334
32366 132.3078654974029
33203 131.9927558733879
56829 131.84956083438266
6636 126.5255165153096
64645 126.31192567154527
9703 125.97691519888774
13313 125.32747298517897
65364 122.39865446930855
4306 120.23780643551241
13314 120.23780643551241
3833 120.23780643551241
3827 120.23780643551241
53682 120.14320535759566
49884 120.14320535759566
7118 119.93452863103371
15082 116.6499597653128
47516 115.78235080036778
65036 114.02895905961314
65446 114.02895905961314
53523 113.03492043262642
65306 112.28992010490741
77310 112.28992010490741
68419 112.28992010490741
41541 111.16585193065328
64626 110.106101916756
6735 106.07618538098673
53469 105.19210800424477
6498 104.89291075418268
7115 104.89291075418268
65394 103.58521422255447
33668 102.09347882856555
4395 99.14594692269017
81494 98.84266911821146
12812 98.60520067438549
54762 97.99795927935114
85372 95.35900946654904
71368 95.35900946654904
73641 95.22510475347948
44163 94.33976209189686
39349 94.16096593641839
3972 90.94651091572959
73614 89.90049479203255
20133 89.25009554223031
16897 89.25009554223031
20688 89.25009554223031
20766 89.25009554223031
49815 86.31264812183294
19601 84.810828242366
19599 84.810828242366
16899 84.810828242366
20127 84.810828242366
8333 84.810828242366
13342 84.810828242366
19634 83.66284059902696
46736 81.23256751278682
51210 81.23256751278682
70668 81.22298157216639
76690 80.27199242648214
13335 79.73124617817747
19615 78.87645185383911
23377 78.87645185383911
27386 78.87645185383911
71001 78.46894880976512
76766 77.61752818010042
47551 77.60794223948
58755 77.60794223948
16575 77.03229648484667
12479 76.96712893029819
5862 73.37928226009858
3828 72.52786163043388
15200 72.51827568981345
13320 72.51827568981345
49856 71.67356585095311
6534 68.94001496023427
19033 68.94001496023427
73762 67.98902581455002
73706 67.98902581455002
29913 66.2902074374283
20160 66.28062149680787
48805 65.96110654529569
30456 65.93687374615799
3265 64.67457637774564
22690 60.0024973576311
75563 59.93203127340263
68909 59.390599239020986
73598 58.73398774327199
79021 58.08358849346975
20156 57.794178281637286
19781 57.794178281637286
16954 57.78459234101687
20199 57.78459234101687
41594 55.66350201649454
73320 53.86375017180619
28657 53.65390713422586
29906 53.65390713422586
3834 53.65390713422586
3837 53.65390713422586
67280 53.644321193605435
12825 52.15417954304564
8327 47.888740960557016
78982 47.615343727161786
79759 47.615343727161786
25205 47.37233080354984
4439 46.45102113133986
36447 46.45102113133986
29920 45.800621881537616
44758 43.4494736606927
22858 42.77911394655803
4310 41.361354581673304
54745 41.361354581673304
29314 35.42697819314642
22751 32.01792767842527
16390 31.16650704876057
25103 31.16650704876057
24550 31.16650704876057
9726 24.57551916448468
13332 24.57551916448468
20705 24.57551916448468
44865 24.57551916448468
54780 23.09653514136931
26080 18.873954496208018
11083 18.873954496208018
9358 18.873954496208018
73746 17.372633161598678
17609 12.292552552552554
67861 5.334482758620688
37078 4.439267299864315
33188 3.922857142857143
76675 0.0
64664 0.0
29935 0.0
17619 0.0
11960 0.0
6635 0.0
7937 0.0
