Query is the topic title = "Illiteracy Arab Africa"

Doc_ID JM_Score
83869 -4.612393944588131
34410 -4.657777193705526
26011 -4.677326518632844
54126 -4.700541425259498
68798 -4.743148340359351
53188 -4.748155011225455
7397 -4.81984687297666
54675 -4.8629486954669865
28354 -5.028676118695346
54716 -5.122333656639663
60740 -5.176883470971376
45201 -5.234527494887091
86201 -5.323336211123437
6158 -5.326691405105637
9382 -5.328683886982555
62306 -5.339057853264402
38696 -5.397657090266053
85424 -5.422320718528811
41614 -5.461761623951144
50474 -5.602860587128213
48020 -5.924660532269803
8092 -5.924660532269803
19908 -5.924660532269803
15462 -5.924660532269803
39258 -5.924660532269803
39840 -5.924660532269803
26511 -5.924660532269803
69372 -5.924660532269803
