Query is the topic title = "Aid to handicapped people"

Doc_ID JM_Score
25529 -6.201343334054843
41538 -6.421855603799081
39661 -6.544729368138734
14196 -6.550244030252326
32400 -6.600563471593533
39926 -6.749810393883838
62392 -6.874100597298169
17390 -7.018585278156788
17360 -7.081076510342687
3936 -7.130679916681182
30390 -7.216670377920828
40427 -7.357199062807212
16941 -7.357199062807212
40902 -7.3775855775303345
25220 -7.430267038256202
18090 -7.475234865481302
72985 -7.5209325339041735
52385 -7.5249996832824975
41792 -7.5821527299571505
34498 -7.678488197821683
56129 -7.812540897752618
80308 -8.267344865667326
77243 -8.267344865667326
74269 -8.267344865667326
30943 -8.267344865667326
33589 -8.267344865667326
