Query is the topic title = "Telemarketing practices U.S."

Doc_ID JM_Score
28923 -5.748738726542883
18706 -5.778206987606821
75763 -5.785261919746776
13057 -6.061249001163608
22382 -6.145246581877706
18100 -6.2327167308880504
18164 -6.2327167308880504
18163 -6.2327167308880504
52020 -6.308953001213805
19440 -6.387130605666169
47049 -6.460263081121044
18859 -6.48165705607944
66338 -6.503986124233538
45422 -6.552114494916438
46968 -6.559049786096287
46485 -6.559049786096287
18798 -6.571578670570119
49650 -7.5455753645499435
39410 -7.5455753645499435
78879 -7.5455753645499435
46228 -7.5455753645499435
9871 -7.5455753645499435
54771 -7.5455753645499435
57753 -7.5455753645499435
39303 -7.5455753645499435
65899 -7.5455753645499435
19990 -7.5455753645499435
65283 -7.5455753645499435
37856 -7.5455753645499435
32520 -7.5455753645499435
68969 -7.5455753645499435
77444 -7.5455753645499435
50034 -7.5455753645499435
30059 -7.5455753645499435
18648 -7.5455753645499435
8928 -7.5455753645499435
22660 -7.5455753645499435
7776 -7.5455753645499435
49617 -7.5455753645499435
27440 -7.5455753645499435
10710 -7.5455753645499435
56209 -7.5455753645499435
61895 -7.5455753645499435
64858 -7.5455753645499435
12851 -7.5455753645499435
4157 -7.5455753645499435
23643 -7.5455753645499435
54232 -7.5455753645499435
67401 -7.5455753645499435
73312 -7.5455753645499435
6630 -7.5455753645499435
11807 -7.5455753645499435
