Query is the topic title = "Nuclear plants U.S."

Doc_ID JM_Score
45159 -2.75711236467184
38191 -2.8073446423933754
15228 -2.874621240368853
67522 -2.924153649702279
9384 -2.9433508200642153
14933 -2.9567922075603352
60588 -2.9888035085881874
78479 -3.051109348532968
56499 -3.0763113681238536
59083 -3.090506878202624
76216 -3.1012839389097326
71223 -3.1299021369534676
22250 -3.1318175992376744
83225 -3.138760084056792
80102 -3.1498253594319117
4984 -3.1683339010973195
75770 -3.2317880862578066
6940 -3.2808046870890792
69725 -3.2895941630586645
86111 -3.290412564744888
63280 -3.331593582646973
46655 -3.346363684146864
66301 -3.3468966704102527
45374 -3.386938105846583
40554 -3.4932389658395966
78928 -3.525469098087858
78775 -3.613116690338005
19953 -3.6874192472430174
74632 -3.7395722547971753
