Query is the topic title = "Crime Statistics Great Britain"

Doc_ID JM_Score
59659 -9.885238502643848
58438 -11.1103250402989
73397 -11.122781461015093
84627 -11.39418330466479
75562 -11.454764954031837
21172 -11.518680059587094
69112 -11.608595789083843
60928 -11.628512366789234
46142 -11.669132884621288
14567 -11.746378164785085
26253 -11.76862809546655
53308 -11.824005329188175
5870 -11.845938825817917
3169 -11.859725018224168
74778 -11.928375444231182
74790 -11.938527847695607
73372 -11.958061331428782
43806 -11.977175684895098
56579 -12.30367784932248
13142 -12.348070348456353
66785 -12.395811750305715
14098 -12.419824701220072
74917 -12.43822895942623
12890 -12.517936327991594
26301 -12.643386773196482
73337 -12.656153668817463
10616 -12.711067351233911
12892 -12.84747423961037
54608 -12.939631978508825
15065 -12.953921978382247
49545 -13.16124956056668
