Query is the topic title = "Aid to handicapped people"

Doc_ID ModelC_Score
32400 137.16351254480287
39926 99.85918822047854
17360 93.24129032258064
17390 93.24129032258064
14196 89.86222222222221
39661 89.86222222222221
41538 89.86222222222221
25220 87.02
25529 82.6
52385 46.65696599825632
72985 45.94
3936 43.922222222222224
62392 43.922222222222224
56129 43.239999999999995
40427 43.239999999999995
30390 36.66
41792 36.66
18090 36.66
34498 36.66
16941 36.66
40902 36.66
80308 0.0
33589 0.0
77243 0.0
74269 0.0
30943 0.0
