Query is the topic title = "Aborigine health"

Doc_ID JM_Score
9981 -3.8091060665708607
25328 -3.896526859940387
74036 -3.9689319276362056
21511 -4.050203937117153
53830 -4.051641878946829
7225 -4.112203595349747
19285 -4.192282758482358
4528 -4.310783145562441
65633 -4.326846805199251
2345 -4.356339052472591
2346 -4.361470530545329
65604 -4.375456818056792
20350 -4.437950993294766
46194 -4.4730689283382965
4546 -4.5443288773257695
61262 -4.550858353053496
14377 -4.600556118273294
13147 -4.6151174653567235
30653 -4.630328812590643
68718 -4.645417113242982
2415 -4.683698722513645
2725 -4.728534580877051
74846 -4.741060932597556
68716 -4.747870066493571
69236 -4.816615714446087
79951 -4.898910234948632
78418 -4.929517629115992
75278 -5.009491279746772
79988 -5.0172250220293515
78447 -5.028012344896852
12109 -5.207529906731052
57243 -5.3439700613863526
11302 -5.3439700613863526
