Query is the topic title = "WTO trade debates"

Doc_ID BM25_Score
57876 0.6744874940228573
71894 0.5196381472811176
42848 0.5172924578571716
2738 0.40620267332577525
79698 0.030066821554749767
78998 0.030066821554749767
65311 0.03006577590333607
65501 0.030063613688166558
52721 0.030049043784249163
80891 0.030028313847379407
34733 0.02971569244014226
67433 0.02965851628715475
67275 0.02965851628715475
65465 0.029644352811617418
66118 0.029644352811617418
59518 0.029585217818656463
49229 0.029542582822174028
46122 0.029542582822174028
68756 0.029457156492224544
44221 0.029163304248653862
41556 0.028228417380549337
40131 0.028228417380549337
82689 0.0280563112567677
78305 0.027931110985616882
7741 0.027879936173340846
31784 0.02781381414865155
86691 0.02758899371780786
66181 0.025904294215180583
42847 0.020729494656724856
