Query is the topic title = "Germ warfare"

Doc_ID ModelC_Score
12035 152.51379499341238
29887 130.09349101630815
29668 130.09349101630815
14541 118.28789101630815
19416 118.28789101630815
29909 118.28789101630815
29889 108.25900212741927
83863 108.25900212741927
12476 108.25900212741927
19557 105.26658095832467
11944 96.68453773113444
32351 96.68453773113444
19877 94.45455768297482
8162 92.31971014492754
9490 86.07702944317316
3628 86.07702944317316
8506 84.42566879408594
9717 78.62084120787904
12196 76.39515151515153
12396 69.23333333333333
24287 67.23448888888889
17369 66.59310787454571
70836 62.97333333333334
49904 57.4270742014742
23687 57.4270742014742
54065 56.73501176470589
32380 54.7875078745457
15478 54.7875078745457
58000 39.14000000000001
38821 39.14000000000001
72072 33.08181818181818
41149 23.833333333333332
