Query is the topic title = "NAFTA"

Doc_ID JM_Score
84829 -1.5376709767947732
9133 -1.6233507799982136
8622 -1.6233507799982136
58009 -1.631471697449247
24044 -1.649352126620766
31619 -1.6920469443644244
51260 -1.7254374066842104
51453 -1.7282068944344142
52489 -1.7309524238598244
60293 -1.73904885912034
75205 -1.7495298595229896
52661 -1.9121557348751124
85344 -1.9769615830684086
85663 -2.0631775869252595
83678 -2.0855791759629265
55609 -2.15551843075086
68709 -2.1634707937327105
61165 -2.212238916912377
37202 -2.2364971311999646
66895 -2.3245778249077698
66880 -2.326742944005548
58199 -2.536340180631098
75183 -2.536340180631098
46161 -2.536340180631098
85759 -2.536340180631098
61161 -2.536340180631098
25903 -2.536340180631098
41074 -2.536340180631098
46152 -2.536340180631098
43605 -2.536340180631098
60154 -2.536340180631098
46157 -2.536340180631098
60224 -2.536340180631098
