Query is the topic title = "Scottish Independence"

Doc_ID ModelC_Score
25833 49.94565950406217
82085 49.94565950406217
77381 49.94565950406217
82519 49.94565950406217
77907 49.94565950406217
7970 49.94565950406217
9011 49.94565950406217
27974 49.94565950406217
82106 49.94565950406217
80922 49.94565950406217
76899 44.00565950406217
57024 37.82887592739591
39122 37.82887592739591
73371 37.82887592739591
71913 31.888875927395915
28549 31.888875927395915
40800 31.888875927395915
27960 31.888875927395915
74777 12.11678357666626
48375 0.0
79949 0.0
36858 0.0
69142 0.0
68664 0.0
18877 0.0
63141 0.0
74778 0.0
22472 0.0
38588 0.0
86448 0.0
34010 0.0
26276 0.0
71111 0.0
22987 0.0
69164 0.0
39620 0.0
