Query is the topic title = "NAFTA"

Doc_ID BM25_Score
84829 0.39083762835486735
58009 0.3791295912335828
9133 0.37860532531791935
8622 0.37860532531791935
24044 0.3758617027722935
31619 0.36402739063395007
51453 0.3626126936993544
51260 0.3485241578734485
52489 0.3478680094745653
60293 0.3468884061938172
75205 0.33247117155300054
85344 0.3071067440984597
52661 0.27951429768851327
85663 0.27650086288897835
55609 0.2488513408184679
83678 0.24750286786170594
68709 0.22698050938337247
61165 0.21139940383008315
37202 0.20270280418446285
66895 0.16452886873195322
66880 0.16343740445407662
58199 0.0
75183 0.0
46161 0.0
85759 0.0
61161 0.0
25903 0.0
41074 0.0
46152 0.0
43605 0.0
60154 0.0
46157 0.0
60224 0.0
