Query is the topic title = "Ferry Boat sinkings"

Doc_ID JM_Score
14314 -5.8393923856677405
81463 -6.097585312066212
27426 -6.915551768238771
27106 -6.920102634183629
26385 -6.9992511263529975
14069 -7.008602563660074
54533 -7.153856292146431
26386 -7.230159119491903
20159 -7.23251302411513
59459 -7.325202320761792
83370 -7.364335675701125
79396 -7.368050606536164
26432 -7.380763797991728
63966 -7.52589463717345
80988 -7.546646198730029
9272 -7.606844467499473
68724 -7.79241202671005
46874 -7.828547407243473
55692 -7.842238489417129
46863 -7.857931501651907
26642 -7.887054626138015
83883 -7.917444487149325
34793 -7.94788682932371
29311 -7.959516099062503
46864 -7.960487684990326
46865 -7.960487684990326
26258 -7.984695338591524
56704 -8.009349698691278
82912 -8.022463595665084
78569 -8.032516483345141
27537 -8.036844500488641
54609 -8.079140985044763
77171 -8.084584115687045
53387 -8.091278812742992
78586 -8.114432585368785
59022 -8.12549031352498
22021 -8.15124607692051
85889 -8.173815761005306
71622 -8.176282744768374
54540 -8.247850881200488
31472 -8.440959170859976
26644 -8.496792471943447
16391 -8.507193023906598
61141 -8.566726999405468
72468 -8.660280583095147
75108 -8.7344128330839
66866 -8.764810757342765
6062 -8.772980445429411
84873 -8.806823439204589
42847 -9.082477283870734
9117 -9.111975605472372
2738 -9.147690355607768
21894 -9.221216299164638
21897 -9.221216299164638
70200 -9.221216299164638
29339 -9.221216299164638
43566 -9.221216299164638
31553 -9.221216299164638
24107 -9.221216299164638
72569 -9.221216299164638
39658 -9.221216299164638
37101 -9.221216299164638
49104 -9.221216299164638
19146 -9.221216299164638
