Query is the topic title = "Creutzfeldt-Jakob, mad cow disease"

Doc_ID JM_Score
77971 -8.395738577396099
49872 -8.54015317689746
20899 -8.61165260342917
37732 -8.792392213310313
56318 -9.075133637598524
50734 -9.21347448530931
40341 -9.634680091778678
65378 -9.65014179745908
75463 -9.652206660054667
2552 -9.670749106461827
47714 -9.771613866439225
56248 -9.842263974905213
56045 -9.842263974905213
62620 -9.962969123214254
22407 -10.05654194439378
74775 -10.057463988549145
21088 -10.083163684090328
48342 -10.202443516758358
20785 -10.343114371673344
21089 -10.381544082422412
50413 -10.387702635271978
48181 -10.393863631487362
59382 -10.405697859746686
59561 -10.405697859746686
48174 -10.454293944083723
50408 -10.45792366125893
18216 -10.524243981356452
73012 -10.5493064373506
18110 -10.565429154056313
60030 -10.60126606946274
22894 -10.610850140653467
22692 -10.622917707913244
20823 -10.622917707913244
47257 -10.659072410202997
46942 -10.659072410202997
60088 -10.661931289209807
56055 -10.661931289209807
5014 -10.6732499839679
47663 -10.684952003703158
62056 -10.710801336435772
62544 -10.710801336435772
56066 -10.784865513072871
77921 -10.786382013848597
20892 -10.967258321129675
66012 -10.97269552056687
60709 -10.97269552056687
22446 -10.983023467824719
20837 -10.983023467824719
64742 -10.986559486542495
67894 -11.002421876420613
68024 -11.125774478576462
67551 -11.136540028590826
47015 -11.173142571373841
25174 -11.261432665950101
46725 -11.311810461615103
67787 -11.33483174416478
36554 -11.417160192868272
21110 -11.44352619550852
56319 -11.47037825466603
4976 -11.472461091879083
38479 -11.48009691602976
36618 -11.48009691602976
44872 -11.55351314251979
4973 -11.597267956360582
4955 -11.601639108983541
8466 -11.601639108983541
50366 -11.628727719983411
37729 -11.629428126003067
35333 -11.671590272633766
67886 -11.756264000488606
10228 -11.796285067821215
68513 -11.822504244991684
30182 -11.837559052858888
47078 -11.839204040862933
47003 -11.842295768211233
49889 -11.851666592533551
48268 -11.856751230567877
58956 -11.864943089222404
58787 -11.864943089222404
65477 -11.927887221690058
57866 -11.939920413978857
7576 -12.021589770319304
56253 -12.038311972672128
56252 -12.04381385692574
56150 -12.04381385692574
54749 -12.052686569678517
54315 -12.055434043757893
69536 -12.070607079695732
69426 -12.073222731221863
53572 -12.143998356834587
65544 -12.151080910855727
66119 -12.151080910855727
56244 -12.184583577433518
59417 -12.270017327627885
59577 -12.270017327627885
67968 -12.442822480010884
67793 -12.583689922426625
82540 -12.856326467762546
